Product Name,Current Price,Old Price,Rating
"Dr. Rashel Vitamin C Face Serum for Brightening, Anti- Aging, Radiant Healthy Skin ",KSh 599,KSh 800,N/A
Balance Active Formula Vitamin C Brightening Power Serum Glow And Radiance 30ml,"KSh 1,600","KSh 3,000",N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum - 50ml,KSh 479,N/A,N/A
Gold Touch 30x Vitamin C Spotless & Matte Vitamin C Face Serum-15ml,KSh 950,"KSh 1,400",N/A
NIVEA EXTRA BRIGHT Super C+ Vitamin Serum SPF 50,"KSh 3,999",N/A,N/A
Dr. Rashel Vitamin-C Facial Serum Anti-aging&Dark Spots Face Serum,KSh 439,KSh 950,2 out of 5
Fashion Bright Complete 30 X Vitamin C Booster Serum 30ml,KSh 999,"KSh 1,200",N/A
Dr. Rashel Vitamin C Essense Toner+Face Serum+day Cream,"KSh 1,179","KSh 2,000",5 out of 5
Dr. Rashel Anti-aging Moisturizing Vitamin C Facial Serum Set 3 Pack,"KSh 1,199","KSh 1,400",4.8 out of 5
CrazyLife Vitamin C Face Serum,KSh 330,KSh 500,5 out of 5
"Fruit Of The Wokali 99% Vitamin C Facial Serum For Dark Spots, Anti-aging, Lines",KSh 589,KSh 860,N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum ,KSh 550,N/A,N/A
DR.RASHEL Vitamin C Face Serum For Brightening & Anti-Aging,KSh 709,N/A,4.5 out of 5
Moroccan Argan Oil Anti Aging 3 Tripe Serum Jojoba For all Skin with vitamin c serum,KSh 425,KSh 750,N/A
Fruit Of The Wokali Vitamin C Facial Serum + Vitamin C Cream,KSh 710,KSh 900,5 out of 5
Dr. Rashel Vitamin C Face Cream + Face Serum + Eye Serum,"KSh 1,189","KSh 1,200",5 out of 5
Mabox Vitamin C Face Serum & Mabox Retinol Moisturizer Cream,"KSh 2,100","KSh 3,499",4.7 out of 5
"MOOYAM Vitamin C,Hyaluronic Acid,Niacinamide Vitamin E Super Serum",KSh 550,KSh 599,N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Eye Serum - 30ml,KSh 600,KSh 900,3.5 out of 5
Mabox Vitamin C Face Serum Firming Anti-Aging Anti-Wrinkles Serum,"KSh 1,250","KSh 1,500",N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Cream + Face Serum,KSh 850,"KSh 1,200",4 out of 5
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum - Dr Rashel,KSh 549,KSh 899,3 out of 5
Fruit Of The Wokali  Snail Repairing Cream + Vitamin C Facial Serum,KSh 827,"KSh 1,000",5 out of 5
Fruit Of The Wokali 99% Vitamin C Facial Serum + Snail Repairing Cream.,KSh 899,"KSh 1,699",N/A
NIVEA Extra BRIGHT C&HYA Vitamin Day Serum Cream,"KSh 2,999",N/A,N/A
Mabox Anti Wrinkle Vitamin C  Anti-aging Face Serum 30ml,KSh 800,"KSh 1,200",4.4 out of 5
"Perfect Glow Lightening& Black Spot Corrector Serum With Vitamin C,E&B.","KSh 1,550","KSh 2,400",N/A
Dr. Rashel Vitamin C Face Cream & Serum,"KSh 1,200","KSh 2,000",N/A
Dr. Rashel Vitamin C & Retinol Day Brightening & Anti-aging Face Serum(2 Pack),"KSh 1,500","KSh 2,000",N/A
OZNATURALS Vitamin C Facial Serum - 30ml,KSh 700,N/A,4 out of 5
Neutriherbs Vitamin C Serum for Face with Hyaluronic Acid,"KSh 4,250","KSh 4,600",N/A
"Lundborly Vitamin C, Hyaluronic Acid,Vitamin E Anti Aging Serum",KSh 700,N/A,N/A
Dr. Rashel Vitamin C 2 Pack Serum Set(Dr Rashel Vitamin C Eye Serum+Vitamin C Face Serum (50ml)),"KSh 1,250",N/A,N/A
Medix 5.5 Vitamin C + FERULIC ACID  SERUM  for Firm and Brighter skin ,"KSh 1,159",N/A,N/A
"SADOER Vitamin C Face Serum + Facial Cleanser, Face Brightening Firming Anti-Aging And Hydrating Set",KSh 549,"KSh 1,100",N/A
Pei Mei Vitamin C Whitening And Moisturising  Serum - 30ml,KSh 325,KSh 650,3.2 out of 5
LansYade Vitamin C Lotion Face Body Brightening Serum Whitening,KSh 699,KSh 900,5 out of 5
Dr. Rashel Vitamin C Brightening & Anti-Aging Facial Cleanser + Face Serum,KSh 849,"KSh 1,200",5 out of 5
Bright Complete 30 X Vitamin C Booster Serum 30ml,"KSh 1,099","KSh 1,999",4.3 out of 5
Dr. Rashel Vitamin C Face Serum & Face Cream Hyaluronic Anti-Aging Set,KSh 899,"KSh 1,200",5 out of 5
Naturals Vitamin C Facial Serum Rosehips Hyaluronic Acid Vitamin E,KSh 330,KSh 500,2 out of 5
"SADOER 3 in 1, Vitamin C Serum + Vitamin C Brightening Cream + Vitamin C Face Wash Cleanser",KSh 850,"KSh 1,300",N/A
"Fruit Of The Wokali 99% Vitamin C Facial Serum For Dark Spots, Anti-aging, Lines",KSh 599,"KSh 1,000",4.1 out of 5
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum - Dr Rashel,KSh 749,"KSh 1,400",N/A
"Vitamin C Serum with Hyaluronic Acid, Niacinamide Anti-acne.Anti-wrinkles",KSh 499,KSh 649,N/A
Mabox Anti-acne Vitamin C Serum Brightening Moisturizing Vitamin C Face Serum,KSh 799,"KSh 1,499",N/A
ACNES C10- 10% Pure Vitamin C Serum,"KSh 2,750","KSh 3,380",4.4 out of 5
Moroccan Argan Oil Correct Nourish Moisturise + Vitamin C&E Brightening Serum,KSh 699,"KSh 1,500",5 out of 5
Dr. Rashel Vitamin-C Facial Serum-Hyaluronic Acid -Dark Spots,KSh 498,N/A,4 out of 5
SADOER Vitamin C Serum Ampoule Tenderness Essence_Brightening 20mlx20,KSh 299,KSh 500,4 out of 5
QBD Vitamin C+Hyaluronic Acid Anti-aging&Brightening Serum,KSh 550,"KSh 1,100",4.1 out of 5
Roushun 20% Vitamin C Hyaluronic Professional Brightening Serum,"KSh 1,100","KSh 2,000",N/A
Disaar Vitamin C Face Serum With Hyaluronic Acid Whitening Face Serum With Berry Glutathione 30ml,KSh 400,N/A,N/A
DR MEINAIER VITAMIN C skin brightening and whightening Face & Body Serum,KSh 750,"KSh 1,000",N/A
BB Clear Lightening Unifying Serum With AHA & Vitamin C- 30ml,KSh 549,KSh 700,4.3 out of 5
DR MEINAIER Vitamin C Face Serum Hyaluronic Acid & Vitamin E,KSh 349,KSh 600,4.8 out of 5
Nuspa Vitamin C Serum for Face 31% Vitamin C,"KSh 4,450","KSh 4,700",N/A
"Disaar 3 IN 1 HA Vitamin C Glow & Moisture Whitening Face Cream, Face Serum &","KSh 399 - KSh 1,199","KSh 600 - KSh 2,000",N/A
"Mabox Vitamin C Face Serum Firming Anti Wrinkle,Anti Aging, Anti Acne,Vitamin C",KSh 798,"KSh 1,600",N/A
Beauty Dr. Rashel Vitamin C & Niacinamide Brightening Primer Serum,KSh 949,KSh 999,4 out of 5
Pei Mei Retinol C Serum + Vitamin C Serum - Brightening,KSh 580,"KSh 1,000",N/A
Dr. Rashel Vitamin-C Facial Serum- Dark Spots,KSh 544,KSh 816,4.4 out of 5
Dr. Rashel Vitamin C Essense Toner+Face Serum+Face Cream,"KSh 1,370","KSh 1,950",5 out of 5
Medix5 5 VITAMIN C + FERULIC ACID FIRM AND BRIGHTENING SERUM,"KSh 1,200","KSh 2,000",N/A
Radha Beauty Vitamin C Serum For Anti-Aging Clears Wrinkles Hyperpigmentation,"KSh 3,999","KSh 5,600",N/A
Bio Balance BIOBALANCE PURE VITAMIN C SERUM,"KSh 3,350",N/A,5 out of 5
Dr. Rashel Vitamin C Face Cream + Face Serum + Eye Serum,"KSh 1,189","KSh 1,200",4.2 out of 5
Dr. Rashel Vitamin C Face Serum + Day Cream,KSh 849,"KSh 1,400",5 out of 5
NIVEA Extra White C & E Vitamin Lotion + Extra BRIGHT C&HYA Vitamin Day Serum Cream,"KSh 6,500",N/A,N/A
BB Clear Lightening Unifying Serum With AHA & Vitamin C- 30ml,KSh 645,KSh 900,N/A
"SADOER 4 Pieces, Vitamin C Serum + Vitamin C Face Brightening Cream + Face Cleanser + Sunscreen SPF 50 SunBlock Cream ",KSh 999,"KSh 1,500",N/A
Dr. Rashel Vitamin C Face Cleanser +Serum + Cream +Eye Serum,"KSh 1,405","KSh 2,000",4.4 out of 5
Garnier Vitamin C Serum Even & Matte 30ml,"KSh 1,899","KSh 2,599",5 out of 5
Pei Mei Vitamin C Face Serum,KSh 340,KSh 550,5 out of 5
CrazyLife Vitamin C Brightening Face Serum,KSh 330,KSh 500,4.5 out of 5
"Roushun Vitamin C Serum-Brightens,AntiAging,Reduce Scars,Acne&Blemishes",KSh 800,"KSh 1,200",N/A
Fair & White Anti Dark Spot Vitamin C Extra Serum 30ml,"KSh 3,250",N/A,4 out of 5
Disaar Vitamin C Whitening Serum Hyaluronic Acid -30ml,KSh 800,"KSh 1,200",N/A
Dr. Rashel Vitamin C Face Serum + Cream + Toner,"KSh 1,210","KSh 2,000",N/A
Bio Balance Pure Vitamin C 10% Super Serum Back To Nature,"KSh 3,831",N/A,N/A
Dr. Rashel Vitamin C Face Cream + Face Serum + Eye Serum + Cleanser Set,"KSh 1,550 - KSh 1,649","KSh 2,000",N/A
Dr. Rashel Vitamin C Brightening & Anti Aging Primer Serum + Soap,KSh 899,"KSh 1,200",N/A
Roushun Vitamin C Face Serum Anti-aging & Anti-acne Vitamin C Serum Moisturizing Spray-100ml,KSh 399,KSh 500,N/A
"SADOER THE GLOW SET/TURMERIC SOAP100G, VITAMIN C SERUM 30ML&FACE CREAM 50G","KSh 2,232","KSh 3,000",N/A
Moroccan Argan Oil  Organic Anti Aging Whitening Dark Spot Removal Vitamin C Vegan Skin Care 3 Tripe Serum Jojoba For Black Skin,KSh 500,KSh 600,N/A
Moroccan Argan Oil Natures Secret With Vitamin C & E Serum- 50ml.,KSh 490,"KSh 1,000",N/A
"Dr. Rashel 3 in 1 Serum set (Retinol, Vitamin C and Hyaluronic acid serum)","KSh 1,479","KSh 2,449",5 out of 5
"QBD Vitamin C Anti-aging, Anti Wrinkle, Anti Acne Face Serum",KSh 477,KSh 700,N/A
Mabox Vitamin C Face Serum & Retinol Moisturizer Cream  Anti-aging Anti-acne Set,"KSh 2,100","KSh 3,499",N/A
"Dr. Davey Hyaluronic Acid Facial Serum With Vitamin C & Vitamin E,RoseHip Oil & GreenTea-30ml",KSh 630,"KSh 1,000",N/A
Moroccan Argan Oil Organic Anti Aging Whitening Dark Spot Removal Vitamin C Vegan Skin Care 3 Tripe Serum Jojoba For Black Skin 50 ml,KSh 609,N/A,N/A
Fruit Of The Wokali  Snail Repairing Cream + Vitamin C Facial Serum,KSh 999,"KSh 1,900",N/A
"Dr. Rashel Vitamin C Set 4 In 1 Day/Night Creams, Cleanser And Serum","KSh 2,100","KSh 4,000",N/A
Dr. Rashel Vitamin C Face Serum Spray + Sunscreen,KSh 859,"KSh 1,000",N/A
Mabox Vitamin C Serum Anti-acne Anti-wrinkles Moisturizing Facial Serum,KSh 799,"KSh 1,499",N/A
Medix 5.5 Vitamin C + FERULIC ACID SERUM for Firm and Brighter skin,"KSh 1,050","KSh 2,050",N/A
"Tree of Life Vitamin C Hydrating Serum For Flawless, Younger And Perfect Skin","KSh 4,199","KSh 5,500",N/A
Gold Touch Spotless & Matte 30X Vitamin C Serum Dark Spots Marks.,"KSh 1,250 - KSh 1,750","KSh 2,200",N/A
"Dr. Rashel Vitamin C  3 IN 1 SET Face Cleanser, Serum + Cream","KSh 1,180","KSh 1,190",N/A
ESTELIN Vitamin C And Turmeric Face Serum,KSh 699,KSh 999,N/A
Fair & White Serum Exclusive Whitenizer Vitamin C,"KSh 1,990","KSh 1,999",5 out of 5
Roushun Vitamin C Face Serum,KSh 500,N/A,4.5 out of 5
ESTELIN Vitamin C Turmeric Brightening Face Serum - 30ml,KSh 725,"KSh 1,200",N/A
BB Clear Lightening Unifying Serum With AHA & Vitamin C,KSh 680,"KSh 1,000",N/A
"Radha Beauty Vitamin C FACE Serum For Anti-Aging,Wrinkles, And Fine Lines","KSh 3,979","KSh 5,600",N/A
Dr. Rashel Vitamin C Brightening Anti-aging Cleanser Toner Cream Serum 4pc,"KSh 1,800","KSh 2,000",3.7 out of 5
Dr. Davey Advanced Anti-aging Vitamin C Face Serum -50ml.,KSh 399,KSh 599,N/A
"CrazyLife Vitamin C Face Serum Firming Anti Wrinkle,Anti Aging Face Serum",KSh 350,KSh 600,5 out of 5
Dr. Rashel Vitamin C Brightening Eye Serum + Face Serum,KSh 950,"KSh 1,200",N/A
Dr. Davey Vitamin C Brightening & Anti-Aging Face Serum -30ml,KSh 400,N/A,4 out of 5
Fruit Of The Wokali Vitamin C Face Serum,KSh 549,N/A,N/A
Pei Mei Vitamin C Brightening Face Serum,KSh 555,KSh 799,N/A
BB Clear Lightening Unifying Serum With AHA & Vitamin C,KSh 799,N/A,4 out of 5
Mabox Vitamin C Face Serum + Mabox Retinol Moisturizer Cream,"KSh 2,890","KSh 3,000",2 out of 5
Moroccan Argan Oil  Argan Oil Correct Nourish Moisturise + Vitamin C&E Brightening Serum,KSh 599,KSh 900,N/A
"Radha Beauty Vitamin C Serum For Anti-Aging, Wrinkles & Glowing Healthy Skin","KSh 4,190","KSh 5,500",N/A
Dr. Rashel Vitamin C Face Serum -50ml Dr Rashel.,KSh 950,"KSh 1,000",N/A
QBD Vitamin C + AHAH Brightening  Face Serum,KSh 630,"KSh 1,100",N/A
Pei Mei Vitamin C Brightening Face Serum,KSh 555,KSh 799,N/A
Moroccan Argan Oil Tripple Serum Jojoba Oil With Vitamin C,KSh 445,"KSh 1,200",4.3 out of 5
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum -50ml.,KSh 500,KSh 899,3 out of 5
QBD Skin Care Vitamin C Serum - 100ml--,KSh 899,"KSh 1,200",N/A
Dr. Rashel Vitamin C Brightening Eye Serum + Face Serum,KSh 950,"KSh 1,200",N/A
"CrazyLife Vitamin C Face Serum Firming Anti Wrinkle,Anti Aging Face Serum",KSh 350,KSh 600,5 out of 5
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum - 50ml,KSh 650,N/A,5 out of 5
Dr. Rashel Vitamin-C Facial Serum-Hyaluronic Acid -Dark Spots,KSh 498,N/A,4 out of 5
Dr. Rashel Vitamin C Brightening & Anti-Aging  Eye Serum,KSh 490,KSh 850,N/A
"SADOER 3 in 1, Collagen Anti Aging Cream + Vitamin C Face Brightening Essence + Collagen Anti Aging Face Serum ",KSh 850,"KSh 1,200",N/A
Dr. Rashel Brightening&Anti-aging Vitamin C Face Cream+Face Serum+Eye Serum,"KSh 475 - KSh 1,367","KSh 800 - KSh 2,000",4.2 out of 5
Lundborly Vitamin C Face Serum  Anti-Aging + Hyaluronic Acid & Vitamin E,KSh 375,KSh 550,4.3 out of 5
Roushun Vitamin C & E Hydrating Skin Healthy Face Serum,KSh 800,N/A,N/A
"Fruit Of The Wokali Vitamin-C Facial Serum with Hyaluronic Acid & Vitamin E. Dark Spots, Fine Lines & Dark Circles Serum-40ml",KSh 650,"KSh 1,000",4 out of 5
"Lait Vitamin C Serum 99% - Brightening, Lightening & Anti-wrinkles Serum",KSh 650,KSh 800,N/A
Dr. Rashel Vitamin C Anti-ageing Face Serum + Essence Toner,KSh 845,"KSh 1,500",N/A
Dr. Rashel Vitamin C And Niacinamide Brightening Primer Serum,KSh 520,KSh 999,4 out of 5
"Mabox Vitamin C Face Serum Firming Anti Wrinkle,Anti Aging, Anti Acne,Vitamin C",KSh 798,"KSh 1,600",N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum + Face Creme-,"KSh 1,200",N/A,N/A
Mabox Vitamin C Serum Anti-acne Anti-wrinkles Moisturizing Facial Serum,KSh 799,"KSh 1,499",N/A
"Dr. Rashel Vitamin C 3 IN 1 SET Face Cleanser, Serum + Cream","KSh 1,194","KSh 1,500",N/A
"QBD Vitamin C Anti-aging, Anti Wrinkle, Anti Acne Face Serum",KSh 477,KSh 700,N/A
Dr. Rashel Vitamin C Face Cream + Face Serum + Eye Serum + Cleanser Set,"KSh 1,550 - KSh 1,649","KSh 2,000",N/A
QBD Vitamin C+Hyaluronic Acid Anti-aging&Brightening Serum,KSh 850,"KSh 1,000",N/A
"Dr. Rashel Vitamin C  3 IN 1 SET Face Cleanser, Serum + Cream","KSh 1,180","KSh 1,190",N/A
Dr. Rashel Vitamin-C Facial Serum Anti-aging&Dark Spots Face Cream+serum,KSh 850,"KSh 1,050",N/A
"Dr. Rashel Vitamin C 3 IN 1 SET Face Cleanser, Serum + Cream","KSh 1,194","KSh 1,500",5 out of 5
"Dr. Rashel Vitamin C Face Cleanser, Serum + Cream","KSh 1,090","KSh 1,300",4 out of 5
QBD Anti-acne Vitamin C Serum With Hyaluronic Acid,KSh 489,KSh 700,N/A
QBD Vitamin C+Hyaluronic Acid Anti-aging&Brightening Serum-100ml,KSh 494,KSh 580,3.8 out of 5
"SADOER Vitamin C Face Serum + Facial Cleanser, Face Brightening Set",KSh 550,KSh 900,4 out of 5
"Dr. Davey Vitamin C 20 & E Face Serum With Hyaluronic Acid, 30ml",KSh 950,N/A,N/A
NIVEA Extra White C & E Vitamin Lotion + Extra BRIGHT C&HYA Vitamin Day Serum Cream,"KSh 6,500",N/A,N/A
Dr. Rashel Vitamin-C Facial Serum Anti-aging&Dark Spots Face Cream+serum,KSh 890,"KSh 1,500",N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum - 50ml,KSh 464,KSh 700,4.2 out of 5
"Vitamin C Serum with Hyaluronic Acid, Niacinamide Anti-acne.Anti-wrinkles",KSh 499,KSh 649,N/A
Dr. Rashel Vitamin C Brightening Anti-aging Cleanser Toner Cream Serum 4pc,"KSh 1,800","KSh 2,000",3.7 out of 5
Dr. Rashel Vitamin C Face Serum + Cream + Toner,"KSh 1,210","KSh 2,000",N/A
SADOER Vitamin C Serum Ampoule Tenderness Essence_Brightening 20mlx20,KSh 299,KSh 500,4 out of 5
Moroccan Argan Oil Correct Nourish Moisturise + Vitamin C&E Brightening Serum,KSh 599,"KSh 1,000",N/A
Dr. Rashel Vitamin C Face Serum + Essence Toner,KSh 949,"KSh 1,300",N/A
QBD Anti-acne Vitamin C Serum With Hyaluronic Acid,KSh 489,KSh 700,N/A
Cosrx The Vitamin C 23 Serum,"KSh 3,500","KSh 4,500",N/A
American Dream 4 In 1 Miracle Serum With Vitamin C + Salicylic Acid ,"KSh 1,699","KSh 1,999",5 out of 5
Garnier  Even & Matte Vitamin C Booster Serum 30ml,"KSh 1,950","KSh 3,500",N/A
"Perfect Glow Lightening& Black Spot Corrector Serum With Vitamin C,E&B.","KSh 1,500","KSh 3,000",N/A
Dr. Rashel Vitamin C & Niacinamide Brightening Primer Serum,KSh 897,N/A,N/A
Dr. Rashel Vitamin C SET 4 IN 1Face Cleanser +Serum + Cream + Eye Serum,"KSh 1,550","KSh 1,600",4.8 out of 5
QBD Young Skin Vitamin C + AHA Facial Serum - 100ml,KSh 800,"KSh 1,200",N/A
"Dr. Rashel Vitamin C 3 IN 1 SET Face Cleanser, Serum + Cream","KSh 1,194","KSh 1,500",N/A
Lundborly Vitamin C Face Serum Anti-aging Anti-Wrinkle Face Serum,KSh 499,KSh 849,N/A
Mabox Vitamin C Serum Mabox Vitamin C Face Serum Anti-aging Anti-acne,"KSh 1,500",N/A,4.5 out of 5
Dr. Rashel Vitamin C Face Cream + Face Serum + Eye Serum + Face Towel,"KSh 1,365","KSh 1,500",N/A
DR MEINAIER Moroccan Argan Oil With Vitamin C & E Lightening Serum,KSh 449,KSh 700,N/A
Roushun Vitamin C & E Hydrating Skin Healthy Face Serum,KSh 800,N/A,N/A
"DRMEINAIER 3 Pack Body Serum - Vitamin C, AHA And Alpha Arbutin ","KSh 3,499","KSh 4,000",N/A
Dr. Rashel Vitamin C Face Serum + Cream + Toner,"KSh 1,140","KSh 1,500",N/A
Lundborly Vitamin C Face Serum Anti-aging Anti-wrinkle Firming,KSh 499,KSh 899,N/A
"Dr. Rashel Vitamin C  Face Cleanser, Serum + Cream 3 IN 1 SET","KSh 1,197","KSh 1,699",4.8 out of 5
Garnier Even&Matte Vitamin C Booster Serum-Marks Remover,"KSh 2,100","KSh 2,800",N/A
Fruit Of The Wokali 99% Vitamin C Facial Serum,KSh 690,"KSh 1,000",N/A
Disaar Vitamin C Whitening Serum Hyaluronic Acid -30ml,KSh 799,KSh 999,5 out of 5
Kojic Acid Whitening Anti-Aging Brightening Serum With Vitamin C-,KSh 799,"KSh 1,399",N/A
Moroccan Argan Oil Vitamin E And C  Lightening Serum,"KSh 1,000",N/A,2.5 out of 5
Dr. Rashel 4in1 Brightening Vitamin C Lotion+Serum+Cream+Cleanser,"KSh 1,899","KSh 2,000",N/A
"Dr. Rashel Vitamin A Rentinol ,Hyaluronic Acid Primer Serum & Vitamin C Primer Serum","KSh 1,490","KSh 2,000",N/A
"Roushun Skin Healthy Face Serum With Retinol,Vitamin C&Rose Hip For A Smooth,Soft&Moisturized Skin",KSh 545,"KSh 1,000",5 out of 5
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum - 50ml,KSh 549,"KSh 1,000",N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum -50ml.,KSh 455,KSh 799,3.8 out of 5
Dr. Rashel Vitamin C Brightening & Anti-Aging  Eye Serum,KSh 490,KSh 850,N/A
"SADOER 7 In 1 Skin Care Vitamin C Serum, Face Cream, Eye Cream, Face Mask 3Pcs And Cleanser Set","KSh 1,081","KSh 1,150",N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum -50ml.,KSh 530,KSh 700,N/A
Dr. Rashel Vitamin C Brightening Anti-aging Cleanser Toner Cream Serum 4pc,"KSh 1,698","KSh 2,500",4.7 out of 5
Skin Care QBD Vitamin C Face Serum,KSh 500,"KSh 1,000",N/A
"Lait Vitamin C Serum 99% - Brightening, Lightening & Anti-wrinkles Serum",KSh 650,KSh 800,N/A
Eva Skin Clinic 15% Vitamin C Face Serum,"KSh 3,850","KSh 4,200",N/A
Dr. Rashel Vitamin-C Facial Serum Anti-aging&Dark Spots Face Cream+serum,KSh 850,"KSh 1,050",N/A
Pei Mei Vitamin C Retinol Serum Anti Wrinkle/ Acne /Aging Serum,KSh 430,KSh 600,1 out of 5
"Dr. Rashel Vitamin C Face Cleanser, Serum + Cream","KSh 1,090","KSh 1,300",4 out of 5
Disaar Vitamin C Face Facial Serum 30ml,KSh 375,KSh 700,N/A
American Dream 4 In 1 Miracle Serum With Vitamin C + Salicylic Acid ,"KSh 1,699","KSh 1,999",5 out of 5
Moroccan Argan Oil Morrocan Argan Oil + vitamin E & C brighten serum,KSh 900,N/A,N/A
Dr. Rashel  Vitamin C Anti-Ageing Face Serum + Black Soap,KSh 759,"KSh 1,000",4.5 out of 5
Fruit Of The Wokali Snail Repairing Anti-aging Cream+Vitamin C Facial Serum,KSh 849,"KSh 1,100",4.2 out of 5
Dr. Rashel Vitamin C Face Serum + Peel-Off Mask For Blackheads & Acne,"KSh 1,500","KSh 3,000",N/A
Fruit Of The Wokali snail repairing cream vitamin c facial serum,KSh 799,"KSh 1,000",N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum -50ml.,KSh 455,KSh 799,3.8 out of 5
BB Clear Lightening Unifying Serum With AHA & Vitamin C- 30ml,KSh 645,KSh 900,N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Eye Serum - 30ml,KSh 600,KSh 900,3.5 out of 5
Moroccan Argan Oil Correct Nourish Moisturise + Vitamin C&E Brightening Serum,KSh 699,"KSh 1,500",5 out of 5
Dr. Rashel Vitamin C Face Serum + Cream + Toner,"KSh 1,140","KSh 1,500",N/A
Dr. Rashel Vitamin C Face Serum - 50 Ml,KSh 448,KSh 600,5 out of 5
SADOER Salicylic Acid Anti Acne Serum + Vitamin C Face Brightening Serum,KSh 550,KSh 800,3.8 out of 5
Dr. Rashel VITAMIN C&Niacinaminde Brightening Primer Serum-100ml,KSh 750,KSh 999,N/A
Dr. Rashel Anti Aging And Brightening Vitamin-C Eye Serum 50ml,KSh 550,KSh 800,4.5 out of 5
"MOOYAM Vitamin C, Hyaluronic Acid, Niacinamide Vitamin E Super Serum",KSh 350,KSh 700,4.1 out of 5
Moroccan Argan Oil Natures Secret With Vitamin C & E Serum- 50ml.,KSh 490,"KSh 1,000",N/A
Moroccan Argan Oil Correct Nourish Moisturise + Vitamin C&E Brightening Serum,KSh 450,N/A,5 out of 5
Moroccan Natural Lait Brightening Argan Serum With Vitamin C&E,KSh 590,"KSh 1,000",N/A
"Dr. Rashel Vitamin C & Hyaluronic Acid Soap, Serum & Cream Starter Kit","KSh 1,100","KSh 1,200",5 out of 5
Mabox Vitamin C Face Serum Firming Anti-Aging Anti-Wrinkles Serum,"KSh 1,299","KSh 1,500",N/A
Naturals Vitamin C Facial Serum Rosehips Hyaluronic Acid Vitamin E,KSh 339,KSh 500,N/A
Dr. Davey Vitamin C Brightening & Anti-Aging Face Serum -30ml,KSh 550,KSh 700,N/A
Dr. Rashel Vitamin C & Anti-Aging Face Serum + Cream + Soap,"KSh 1,037","KSh 1,600",N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum - Dr Rashel,KSh 479,KSh 899,N/A
Disaar Vitamin C Glow & Moisture Face Serum With Hyaluronic Acid,KSh 600,N/A,4.5 out of 5
Mentholatum Acnes C10 Vitamin C Serum With 10% Pure Vitamin C -15mL,"KSh 3,999",N/A,5 out of 5
Pei Mei Vitamin C Retinol Serum Anti Wrinkle/ Acne /Aging Serum,KSh 430,KSh 600,1 out of 5
Balance Active Formula Vitamin C Brightening Power Serum Glow And Radiance 30ml,"KSh 1,600","KSh 3,000",N/A
"Dr. Rashel 3 in 1 Serum set (Retinol, Vitamin C and Hyaluronic acid serum)","KSh 1,478","KSh 2,948",N/A
Dr. Rashel L Vitamin C Face Cleanser / Serum / Cream Set.-,"KSh 1,435","KSh 1,999",N/A
NIVEA Extra BRIGHT C&HYA Vitamin Day Serum Cream,"KSh 2,999",N/A,N/A
Pei Mei Vitamin C & Vitamin E Face Serum Set.,KSh 790,KSh 800,4.5 out of 5
Dr. Rashel Vitamin C Brightening & Anti Aging Primer Serum + Soap,KSh 899,"KSh 1,200",N/A
Galactomyces Vitamin C Serum,"KSh 5,000",N/A,4 out of 5
Dr. Rashel Vitamin C - Hyaluronic Acid And Anti Aging- Face Serum,KSh 580,N/A,N/A
"Mabox Vitamin C Hyaluronic Acid, Anti Aging Face Serum","KSh 1,387","KSh 2,000",4.3 out of 5
Fruit Of The Wokali Snail Repairing Cream + Vitamin C Facial Serum,KSh 999,"KSh 1,900",N/A
Joy Revivify Vitamin C+ Face Serum With Tea Tree,"KSh 2,000","KSh 2,200",N/A
"Moroccan Argan Oil Triple Vitamin Booster - Serum For Face With Organic Jojoba Oil, Vitamin C, E & F","KSh 1,000",N/A,4.6 out of 5
Dr. Rashel Vitamin C Brightening & Anti-Aging Face Serum - Dr Rashel,KSh 479,KSh 799,N/A
Dr. Rashel Vitamin C Niacinamide & Brightening Primer Serum-100ml.,KSh 459,KSh 800,N/A
Mabox Vitamin C Serum Mabox Vitamin C Face Serum Anti-aging Anti-acne,"KSh 1,500",N/A,4.5 out of 5
Disaar Vitamin C Facial Hyaluronic Acid Serum For Face,KSh 750,N/A,N/A
SADOER vitamin C  face serum brightening and stimulates collagen production ,KSh 350,N/A,N/A
"Simple 10% Vitamin C+E+F Serum For All Skin Types For Youthful, Glowing Skin","KSh 2,994","KSh 3,500",N/A
Gold Touch 30x Vitamin C Spotless & Matte Vitamin C Face Serum-15ml,KSh 950,"KSh 1,400",N/A
